user_id,recency_days_since_trade,monthly_trades,total_trading_volume_eur,sparplan_active
CRYPTO_USR_10000,28,6,454.66,False
CRYPTO_USR_10001,31,4,4009.12,True
CRYPTO_USR_10002,15,5,1267.05,True
CRYPTO_USR_10003,6,4,1889.09,False
CRYPTO_USR_10004,6,0,11.74,False
CRYPTO_USR_10005,33,1,748.61,True
CRYPTO_USR_10006,88,3,183.09,False
CRYPTO_USR_10007,25,5,2962.31,False
CRYPTO_USR_10008,21,6,1445.49,False
CRYPTO_USR_10009,26,3,3561.08,False
CRYPTO_USR_10010,34,5,614.93,True
CRYPTO_USR_10011,7,4,191.65,True
CRYPTO_USR_10012,28,2,423.18,True
CRYPTO_USR_10013,77,6,1879.6,False
CRYPTO_USR_10014,5,4,858.88,False
CRYPTO_USR_10015,28,2,1465.33,False
CRYPTO_USR_10016,51,4,58.73,True
CRYPTO_USR_10017,8,2,426.54,False
CRYPTO_USR_10018,58,2,906.43,False
CRYPTO_USR_10019,17,7,553.9,True
CRYPTO_USR_10020,23,3,4105.89,False
CRYPTO_USR_10021,6,7,10811.92,False
CRYPTO_USR_10022,2,5,1777.27,False
CRYPTO_USR_10023,15,4,118.14,False
CRYPTO_USR_10024,155,0,3549.06,True
CRYPTO_USR_10025,35,2,2060.63,False
CRYPTO_USR_10026,8,3,1026.93,False
CRYPTO_USR_10027,86,3,3755.32,True
CRYPTO_USR_10028,19,6,3679.59,True
CRYPTO_USR_10029,28,9,1690.15,True
CRYPTO_USR_10030,40,0,1360.4,True
CRYPTO_USR_10031,10,3,35.4,False
CRYPTO_USR_10032,59,5,107.41,False
CRYPTO_USR_10033,82,2,161.18,False
CRYPTO_USR_10034,2,4,247.35,False
CRYPTO_USR_10035,22,0,554.33,False
CRYPTO_USR_10036,15,4,2356.34,True
CRYPTO_USR_10037,10,7,9591.56,False
CRYPTO_USR_10038,16,2,458.1,True
CRYPTO_USR_10039,24,4,470.72,True
CRYPTO_USR_10040,2,2,4244.96,False
CRYPTO_USR_10041,2,2,489.27,False
CRYPTO_USR_10042,6,8,1523.52,False
CRYPTO_USR_10043,42,8,2965.76,True
CRYPTO_USR_10044,2,1,1132.7,False
CRYPTO_USR_10045,31,5,7461.98,True
CRYPTO_USR_10046,14,1,514.61,True
CRYPTO_USR_10047,16,8,986.36,True
CRYPTO_USR_10048,8,6,3556.43,False
CRYPTO_USR_10049,1,2,13031.45,False
CRYPTO_USR_10050,97,8,327.41,False
CRYPTO_USR_10051,6,2,922.61,True
CRYPTO_USR_10052,13,6,2759.05,False
CRYPTO_USR_10053,15,4,5677.15,False
CRYPTO_USR_10054,22,3,633.57,False
CRYPTO_USR_10055,24,2,1406.36,False
CRYPTO_USR_10056,1,1,3447.75,True
CRYPTO_USR_10057,90,2,150.3,True
CRYPTO_USR_10058,25,3,229.87,False
CRYPTO_USR_10059,7,2,1624.83,False
CRYPTO_USR_10060,15,1,4911.95,True
CRYPTO_USR_10061,35,2,490.88,False
CRYPTO_USR_10062,31,3,2508.8,True
CRYPTO_USR_10063,17,6,11650.27,False
CRYPTO_USR_10064,2,4,4872.49,False
CRYPTO_USR_10065,59,6,830.31,True
CRYPTO_USR_10066,50,3,7849.61,False
CRYPTO_USR_10067,0,0,3057.91,True
CRYPTO_USR_10068,30,5,220.77,True
CRYPTO_USR_10069,22,3,572.28,False
CRYPTO_USR_10070,35,5,551.71,False
CRYPTO_USR_10071,66,7,3368.66,True
CRYPTO_USR_10072,15,4,2654.2,False
CRYPTO_USR_10073,8,4,2433.27,False
CRYPTO_USR_10074,15,5,3863.68,False
CRYPTO_USR_10075,22,4,3238.85,False
CRYPTO_USR_10076,4,5,4126.41,False
CRYPTO_USR_10077,55,5,4125.4,True
CRYPTO_USR_10078,8,7,3879.59,False
