customer_id,transaction_date,order_amount
CUST_1114,2026-07-31,58.91
CUST_1104,2026-05-20,76.94
CUST_1223,2026-07-15,103.61
CUST_1558,2026-06-27,80.51
CUST_1006,2026-05-01,44.42
CUST_1284,2026-07-22,34.49
CUST_1352,2026-06-02,156.97
CUST_1549,2026-07-24,61.09
CUST_1370,2026-06-07,53.17
CUST_1081,2026-03-29,81.07
CUST_1166,2026-07-02,50.88
CUST_1073,2026-06-01,45.95
CUST_1167,2026-06-22,58.29
CUST_1570,2026-07-16,64.84
CUST_1057,2026-07-16,21.78
CUST_1274,2026-07-28,128.12
CUST_1511,2026-06-30,57.68
CUST_1574,2026-06-12,136.14
CUST_1597,2026-06-29,52.11
CUST_1521,2026-06-18,138.77
CUST_1156,2026-05-29,151.06
CUST_1065,2026-07-01,102.53
CUST_1257,2025-12-14,128.85
CUST_1549,2026-05-03,142.84
CUST_1300,2026-06-25,81.11
CUST_1269,2025-12-12,140.7
CUST_1108,2026-03-22,61.73
CUST_1203,2026-07-22,140.87
CUST_1543,2026-02-20,103.07
CUST_1114,2026-02-10,196.39
CUST_1314,2026-07-15,54.76
CUST_1080,2026-07-27,85.52
CUST_1545,2026-04-29,40.03
CUST_1562,2026-07-21,91.55
CUST_1216,2026-02-11,138.61
CUST_1319,2026-06-29,117.2
CUST_1529,2026-06-23,55.62
CUST_1021,2026-06-05,53.44
CUST_1072,2026-05-14,21.58
CUST_1526,2026-07-15,116.61
CUST_1135,2026-05-10,199.21
CUST_1248,2026-04-24,35.18
CUST_1433,2026-06-28,113.36
CUST_1062,2026-06-29,66.66
CUST_1254,2026-07-19,92.85
CUST_1187,2026-07-11,55.85
CUST_1453,2026-04-16,113.09
CUST_1015,2025-12-19,246.02
CUST_1170,2026-06-29,84.88
CUST_1060,2026-07-21,246.24
CUST_1292,2026-06-27,311.51
CUST_1569,2026-05-23,85.62
CUST_1222,2025-12-19,99.69
CUST_1321,2026-07-29,100.53
CUST_1543,2026-07-21,47.87
CUST_1240,2026-06-29,99.64
CUST_1083,2026-06-27,100.44
CUST_1267,2026-07-18,127.68
CUST_1405,2026-07-23,111.76
CUST_1074,2026-08-01,107.07
CUST_1102,2026-07-28,51.34
CUST_1357,2026-03-16,44.16
CUST_1309,2026-06-01,12.12
CUST_1306,2026-02-08,36.26
CUST_1270,2026-07-25,36.8
CUST_1278,2026-07-11,51.02
CUST_1270,2026-06-17,56.01
CUST_1052,2026-07-26,77.16
CUST_1003,2026-07-06,40.39
CUST_1165,2026-05-06,95.23
CUST_1009,2026-07-25,42.97
CUST_1378,2026-06-06,42.83
CUST_1315,2026-07-03,256.58
CUST_1040,2026-03-06,50.95
CUST_1105,2026-07-04,96.53
CUST_1158,2026-02-13,54.26
CUST_1181,2026-03-16,19.54
CUST_1340,2026-04-24,75.64
CUST_1254,2026-07-12,191.63
CUST_1227,2026-07-18,162.74
CUST_1228,2026-07-31,48.81
CUST_1071,2025-12-23,59.4
CUST_1409,2026-05-20,20.44
CUST_1267,2026-07-20,37.02
CUST_1321,2026-06-25,24.99
CUST_1532,2026-02-14,93.18
CUST_1201,2026-07-03,30.43
CUST_1338,2026-05-30,115.42
CUST_1307,2026-06-17,116.17
CUST_1302,2026-06-10,48.64
CUST_1388,2026-05-20,62.03
CUST_1000,2026-07-09,50.97
CUST_1329,2026-06-22,79.58
CUST_1484,2026-04-21,114.47
CUST_1343,2026-07-26,63.17
CUST_1150,2026-07-31,55.25
CUST_1074,2026-06-23,202.21
CUST_1393,2026-06-18,55.14
CUST_1005,2026-03-09,183.87
CUST_1435,2026-07-16,155.74
CUST_1475,2026-07-29,55.78
CUST_1467,2026-07-23,82.58
CUST_1572,2026-06-04,105.51
CUST_1516,2026-06-26,44.35
CUST_1460,2026-07-13,55.54
CUST_1533,2026-06-19,54.56
CUST_1292,2026-07-15,66.24
CUST_1082,2026-07-23,53.58
CUST_1219,2026-07-28,75.11
CUST_1425,2026-07-28,168.58
CUST_1598,2026-01-24,17.69
CUST_1589,2026-07-01,138.07
CUST_1429,2026-06-12,132.6
CUST_1225,2026-06-19,58.65
CUST_1398,2026-07-06,118.84
CUST_1169,2026-04-04,236.56
CUST_1546,2026-07-31,73.4
CUST_1027,2026-07-27,77.81
CUST_1186,2026-07-29,71.54
CUST_1334,2026-07-06,169.58
CUST_1552,2026-07-29,30.17
CUST_1041,2026-05-02,39.72
CUST_1577,2026-01-22,82.64
CUST_1377,2026-07-21,104.54
CUST_1117,2026-04-26,44.97
CUST_1592,2026-07-31,63.35
CUST_1384,2026-06-30,127.38
CUST_1248,2026-07-26,144.12
CUST_1123,2026-04-20,97.51
CUST_1545,2026-06-26,70.48
CUST_1349,2026-08-01,76.7
CUST_1443,2026-01-03,109.81
CUST_1156,2026-06-25,132.37
CUST_1276,2026-05-31,236.66
CUST_1476,2026-06-25,131.61
CUST_1251,2026-04-08,33.45
CUST_1249,2026-05-03,98.15
CUST_1344,2026-07-31,51.21
CUST_1348,2026-07-11,102.58
CUST_1569,2026-08-01,128.68
CUST_1246,2026-05-17,111.84
CUST_1017,2026-07-26,52.39
CUST_1313,2026-05-23,70.29
CUST_1352,2026-06-26,135.82
CUST_1464,2026-07-12,56.05
CUST_1197,2026-07-08,134.93
CUST_1189,2026-07-19,133.71
CUST_1537,2026-06-03,61.46
CUST_1309,2026-08-01,92.52
CUST_1055,2026-06-10,123.04
CUST_1502,2026-07-25,14.58
CUST_1490,2026-06-25,47.68
CUST_1489,2026-07-25,29.53
CUST_1590,2026-05-29,27.1
CUST_1576,2026-01-20,33.2
CUST_1571,2026-04-30,104.37
CUST_1231,2026-04-26,71.7
CUST_1304,2026-03-27,107.05
CUST_1101,2026-01-22,50.67
CUST_1083,2026-07-21,46.3
CUST_1002,2026-06-28,121.16
CUST_1033,2026-07-15,125.36
CUST_1464,2026-07-28,53.85
CUST_1202,2026-06-27,94.12
CUST_1272,2026-04-10,30.7
CUST_1314,2026-06-04,164.44
CUST_1449,2026-07-24,121.0
CUST_1278,2026-06-17,86.62
CUST_1040,2026-03-11,132.57
CUST_1026,2026-07-26,99.03
CUST_1275,2026-06-07,141.06
CUST_1531,2026-05-25,100.72
CUST_1503,2025-12-19,83.31
CUST_1328,2026-05-21,122.16
CUST_1410,2026-04-14,94.99
CUST_1322,2026-07-14,38.18
CUST_1526,2026-04-10,5.53
CUST_1473,2026-06-28,48.1
CUST_1510,2026-05-30,140.08
CUST_1562,2026-07-23,60.47
CUST_1496,2026-07-24,54.57
CUST_1564,2026-08-01,75.16
CUST_1116,2026-06-22,38.41
CUST_1510,2026-02-07,60.93
CUST_1425,2026-04-06,95.17
CUST_1520,2026-05-04,41.21
CUST_1424,2026-07-06,149.45
CUST_1002,2026-07-11,61.74
CUST_1501,2026-03-24,80.16
CUST_1340,2026-06-10,93.95
CUST_1329,2026-03-22,72.02
CUST_1420,2026-07-30,135.46
CUST_1390,2026-07-01,115.49
CUST_1155,2026-06-18,23.13
CUST_1339,2026-03-22,91.29
CUST_1147,2026-06-28,113.63
CUST_1480,2026-04-25,57.7
CUST_1407,2026-05-25,178.66
CUST_1546,2026-07-01,63.92
CUST_1499,2026-03-21,108.96
CUST_1232,2026-05-04,78.51
CUST_1102,2026-06-24,122.24
CUST_1047,2026-07-07,27.64
CUST_1441,2026-07-22,92.07
CUST_1184,2026-07-20,32.1
CUST_1246,2026-06-18,100.35
CUST_1260,2026-06-22,116.16
CUST_1476,2026-03-04,118.5
CUST_1452,2026-01-25,81.53
CUST_1393,2026-03-30,36.74
CUST_1367,2026-06-07,58.84
CUST_1050,2026-02-26,135.6
CUST_1293,2026-04-26,53.44
CUST_1224,2026-05-28,107.02
CUST_1140,2026-05-29,217.96
CUST_1316,2026-04-22,22.14
CUST_1134,2026-07-26,61.32
CUST_1179,2026-07-18,149.01
CUST_1374,2026-06-13,229.03
CUST_1263,2026-02-23,277.63
CUST_1302,2026-05-04,66.59
CUST_1077,2026-07-23,129.77
CUST_1570,2026-07-03,92.89
CUST_1268,2026-06-05,163.6
CUST_1110,2026-05-20,83.51
CUST_1574,2026-07-07,105.05
CUST_1475,2026-02-26,62.18
CUST_1143,2026-07-29,23.19
CUST_1118,2026-07-26,81.1
CUST_1553,2026-06-27,134.76
CUST_1424,2026-05-24,168.97
CUST_1286,2026-07-30,70.48
CUST_1241,2026-03-29,35.58
CUST_1557,2026-03-04,111.62
CUST_1282,2026-07-19,39.12
CUST_1465,2026-07-26,51.21
CUST_1021,2026-07-29,65.96
CUST_1578,2026-07-18,167.07
CUST_1600,2026-07-17,42.76
CUST_1002,2026-07-11,93.45
CUST_1112,2026-05-23,150.28
CUST_1331,2026-07-31,57.74
CUST_1431,2026-06-14,135.74
CUST_1370,2026-06-16,37.12
CUST_1044,2026-05-09,223.63
CUST_1308,2026-06-23,84.55
CUST_1110,2026-06-19,32.42
CUST_1067,2026-07-24,107.66
CUST_1332,2026-07-01,102.8
CUST_1517,2026-06-02,35.55
CUST_1564,2026-05-11,51.57
CUST_1233,2026-06-28,165.93
CUST_1097,2026-07-08,63.42
CUST_1156,2026-05-18,83.9
CUST_1087,2026-07-26,35.12
CUST_1133,2026-06-10,100.91
CUST_1337,2026-05-21,75.52
CUST_1433,2026-03-23,128.94
CUST_1319,2026-07-04,99.48
CUST_1493,2026-07-16,36.99
CUST_1376,2026-07-25,59.33
CUST_1439,2026-04-02,105.68
CUST_1026,2026-06-01,114.26
CUST_1029,2026-07-20,124.31
CUST_1347,2026-07-04,47.3
CUST_1410,2026-07-28,134.39
CUST_1093,2026-05-04,51.59
CUST_1349,2026-07-21,63.31
CUST_1581,2026-06-04,32.57
CUST_1434,2026-06-19,79.56
CUST_1524,2026-07-25,77.98
CUST_1498,2026-06-14,62.93
CUST_1056,2026-08-01,62.08
CUST_1140,2026-04-30,60.64
CUST_1509,2026-05-04,46.55
CUST_1235,2026-06-17,168.81
CUST_1073,2026-06-30,134.69
CUST_1470,2026-02-17,184.92
CUST_1587,2026-06-29,110.7
CUST_1414,2026-07-31,64.9
CUST_1471,2026-04-08,101.32
CUST_1405,2026-03-22,135.78
CUST_1172,2026-07-27,109.35
CUST_1198,2026-03-01,67.88
CUST_1151,2026-07-15,42.61
CUST_1156,2026-05-01,113.78
CUST_1505,2026-06-22,97.15
CUST_1578,2026-05-27,79.26
CUST_1310,2026-04-20,101.76
CUST_1075,2026-07-08,80.87
CUST_1293,2026-07-27,186.29
CUST_1519,2026-07-01,99.88
CUST_1042,2026-06-24,158.08
CUST_1329,2026-06-02,87.7
CUST_1461,2026-07-25,127.2
CUST_1176,2026-07-30,125.52
CUST_1536,2026-06-14,44.29
CUST_1289,2026-07-01,144.79
CUST_1053,2026-04-22,112.12
CUST_1096,2026-06-09,72.47
CUST_1153,2026-07-06,100.28
CUST_1358,2026-07-08,113.89
CUST_1132,2026-06-04,71.24
CUST_1130,2026-05-21,166.66
CUST_1539,2026-07-26,116.93
CUST_1018,2026-07-03,47.15
CUST_1497,2026-07-19,61.41
CUST_1519,2026-04-28,169.69
CUST_1038,2026-05-23,194.66
CUST_1385,2026-07-22,47.23
CUST_1169,2026-05-10,24.82
CUST_1243,2025-12-17,105.14
CUST_1459,2026-07-15,54.55
CUST_1480,2026-03-02,48.92
CUST_1584,2025-11-04,82.18
CUST_1391,2026-06-17,76.53
CUST_1204,2026-04-18,41.48
CUST_1492,2026-03-20,95.68
CUST_1528,2026-03-31,60.12
CUST_1279,2026-06-24,89.43
CUST_1093,2026-01-23,52.45
CUST_1357,2026-02-09,76.04
CUST_1382,2026-07-15,20.62
CUST_1343,2026-04-22,41.36
CUST_1483,2026-05-16,41.53
CUST_1459,2026-05-31,51.65
CUST_1540,2026-06-27,145.37
CUST_1124,2026-07-29,76.67
CUST_1468,2026-07-28,170.48
CUST_1548,2026-07-31,89.73
CUST_1147,2026-07-10,98.28
CUST_1087,2026-06-14,69.26
CUST_1557,2026-06-16,72.95
CUST_1396,2025-11-17,149.74
CUST_1106,2026-04-28,132.75
CUST_1045,2026-07-04,66.57
CUST_1475,2025-11-18,84.48
CUST_1138,2026-07-28,145.38
CUST_1300,2026-07-18,150.7
CUST_1323,2026-02-06,89.73
CUST_1556,2026-06-21,23.03
CUST_1292,2026-07-04,146.99
CUST_1339,2026-07-12,153.84
CUST_1409,2026-05-05,87.15
CUST_1531,2026-07-12,32.75
CUST_1440,2026-06-03,163.56
CUST_1328,2026-07-25,65.28
CUST_1456,2026-06-03,77.49
CUST_1359,2026-06-24,130.47
CUST_1445,2026-07-12,31.38
CUST_1372,2026-06-16,136.99
CUST_1031,2026-07-22,104.59
CUST_1035,2026-07-24,54.17
CUST_1370,2026-07-01,97.72
CUST_1460,2026-01-20,70.66
CUST_1587,2026-07-23,70.04
CUST_1285,2026-07-14,37.8
CUST_1511,2026-06-15,144.96
CUST_1219,2025-08-01,60.18
CUST_1502,2026-07-18,41.09
CUST_1176,2026-03-06,79.97
